Features,importance
technical_22_lag5,0.004487804
technical_22_rolling5,0.004942651
20_30_lag5,0.005256831
technical_11,0.006260858
technical_2,0.007468813
technical_17,0.00824744
20_30_rolling5,0.008528811
technical_43,0.010380913
20_30_lagdiff5,0.011224312
technical_30,0.011692347
technical_34,0.014849206
technical_7,0.017076695
technical_14_demean,0.018639368
premium_20_30,0.032290753
20_30_demean,0.033411948
technical_20,0.034953219
technical_40,0.054439295
technical_22_demean,0.099551039
mkt_20_30,0.214682941
vol_20_30,0.231838607
