Features,importance
technical_17,0.009237909
Combo_tech_36_35,0.009250785
premium_20_30,0.00926329
fundamental_35,0.009467697
technical_36,0.009476313
technical_20,0.009574735
Combo_tech_27_36_35,0.009607679
fundamental_44,0.009758998
fundamental_15,0.009889908
technical_34,0.010084975
technical_7,0.0112299
fundamental_26,0.013070107
technical_22_rolling5,0.013428029
fundamental_5,0.014268026
technical_14_demean,0.014378939
technical_22_lag5,0.014526469
technical_40,0.015441242
technical_22_demean,0.020426834
vol_20_30,0.020777164
mkt_20_30,0.022848472
