features,reward
technical_20,0.017081023960202762
technical_30,0.012626424680541877
technical_19,0.008648621224391586
technical_27,0.007925055949918807
technical_35,0.006617063402198763
technical_36,0.006558320985722136
technical_11,0.005945610543744812
technical_2,0.005749303112551388
technical_43,0.0056011401004495975
technical_6,0.004846398339373137
fundamental_18,0.004591024829315503
technical_29,0.004548720732456013
fundamental_62,0.004467755042861217
fundamental_60,0.004372252256018387
technical_0,0.004323839823276586
technical_37,0.003712978851740258
technical_14,0.0032719629455866023
fundamental_55,0.0031891809419827737
technical_10,0.0026092993084842688
fundamental_11,0.002247988321696879
fundamental_2,0.0018013803244122742
technical_3,0.0016825160252980018
fundamental_25,0.0016319747025063404
fundamental_59,0.0015503938287136784
fundamental_63,0.001512852465344906
technical_12,0.0013510193264141101
fundamental_30,0.001308883485507725
technical_28,0.0013073958157073962
fundamental_28,0.0011918897100325556
technical_16,0.0011900482927589037
technical_22,0.0011714519204618862
technical_38,0.0010647142484428928
fundamental_24,0.0009420270704616691
technical_32,0.000894551008577442
technical_24,0.0008785566439997282
fundamental_14,0.0007827920240698382
technical_9,0.0007670668712043339
technical_5,0.0007510562404566736
fundamental_10,0.0007424966667714976
derived_4,0.0006378281526636598
fundamental_32,0.000484841197837155
fundamental_52,0.00035773218081525506
fundamental_12,0.00033111395709516263
technical_33,0.00019647161199768003
fundamental_19,0.00018679821711989185
fundamental_22,0.00010940676298117527
fundamental_33,-0.00012066261443086314
fundamental_26,-0.0001314927156744578
fundamental_7,-0.00013216987768589986
fundamental_61,-0.0001328640844908535
fundamental_1,-0.0001328640844908535
fundamental_36,-0.000147159871017263
fundamental_49,-0.00014981384025303853
fundamental_6,-0.00023874132841499534
fundamental_48,-0.00030549237984202934
fundamental_17,-0.0003401822347872602
fundamental_47,-0.0004443549464185692
fundamental_45,-0.0004473994000354823
fundamental_20,-0.0004478677143437399
fundamental_58,-0.0004536653271268921
fundamental_0,-0.0005588672015203127
fundamental_27,-0.0005777229358484444
fundamental_43,-0.0006678453067266808
derived_0,-0.0006731604762872256
derived_3,-0.0007030912608456383
derived_2,-0.0007672845487378179
technical_41,-0.0007947836005807785
fundamental_39,-0.000824670958966553
technical_13,-0.0008443668038622008
technical_31,-0.0008935483514064573
technical_44,-0.0009366027853282532
fundamental_51,-0.0009715417765818777
fundamental_3,-0.0010469952528664346
fundamental_40,-0.0010514958739426534
fundamental_50,-0.0011050152139685983
fundamental_34,-0.001127597731450106
technical_39,-0.0011309126824527696
fundamental_44,-0.0011356190631047485
fundamental_23,-0.0011506251913485995
technical_1,-0.0012259341761788355
fundamental_35,-0.0013440015997853308
fundamental_38,-0.0014270580642917186
technical_25,-0.0014565827475218078
fundamental_21,-0.001911961818156939
fundamental_15,-0.0022359557678717553
technical_18,-0.0024400693381979644
technical_17,-0.0029429296487072406
fundamental_54,-0.0032343338634820444
fundamental_37,-0.0032730320389667013
technical_34,-0.0033461381805032033
fundamental_56,-0.0033683081828061977
technical_42,-0.003692997163251735
fundamental_41,-0.004049809504661064
fundamental_5,-0.004203588130976541
fundamental_16,-0.004662216626446988
technical_40,-0.00471522779081142
fundamental_9,-0.004738352788388781
fundamental_57,-0.004955654391760845
derived_1,-0.005125356752744686
fundamental_42,-0.006731918238621407
technical_7,-0.007454368358243175
fundamental_8,-0.008685066364598454
technical_21,-0.020153703667928638
fundamental_53,-0.028174089528985317
fundamental_46,-0.05281637159805267
fundamental_29,-0.06724779703633313
fundamental_31,-0.07287483305374816
fundamental_13,-0.1468802425744578
