features,reward
fundamental_1,-0.000195130653488761
fundamental_11,-0.0022661501847180926
fundamental_51,-0.0029123781730088305
derived_3,-0.0038577257064532377
derived_2,-0.004482016714376524
fundamental_20,-0.005501502269687534
fundamental_2,-0.008189337477917547
derived_0,-0.010793858024320094
fundamental_48,-0.010915588896531688
fundamental_41,-0.014829317247805828
fundamental_42,-0.020443661126173216
fundamental_55,-0.025132034611023847
fundamental_9,-0.027980820655803137
fundamental_18,-0.030441335985610465
fundamental_53,-0.036624067585885364
fundamental_24,-0.03906278569506983
fundamental_16,-0.039407498684317394
fundamental_30,-0.07366499829415697
fundamental_34,-0.07494701598525774
derived_4,-0.08208788827245657
fundamental_45,-0.14546252998805212
fundamental_56,-0.23086527489671924
fundamental_17,-0.28439370017759985
fundamental_0,-0.36412705020942165
technical_9,-0.4357285042557248
technical_18,-0.4884747284011162
fundamental_21,-0.550043299292483
technical_16,-0.6119154166166932
fundamental_62,-0.6568020585075417
technical_39,-0.770823683113841
technical_42,-0.7776965209689697
technical_44,-0.7922633169143216
technical_3,-0.8003825485716948
technical_25,-0.8042084348108587
technical_38,-0.806928001780538
technical_5,-0.8221655980934105
technical_28,-0.8293129645416234
technical_31,-0.8308427963662134
technical_41,-0.8583765473591077
technical_1,-0.8649559113618399
technical_24,-0.8751351737302203
technical_32,-0.8849493839890634
technical_37,-0.8856726657049668
fundamental_38,-0.9578765669284608
technical_17,-1.0
fundamental_7,-1.0
technical_14,-1.0
technical_12,-1.0
technical_13,-1.0
technical_19,-1.0
technical_11,-1.0
technical_10,-1.0
fundamental_8,-1.0
technical_7,-1.0
technical_6,-1.0
fundamental_6,-1.0
fundamental_28,-1.0
technical_20,-1.0
technical_21,-1.0
technical_22,-1.0
technical_29,-1.0
technical_30,-1.0
technical_33,-1.0
technical_34,-1.0
technical_35,-1.0
technical_36,-1.0
fundamental_5,-1.0
technical_40,-1.0
fundamental_3,-1.0
technical_43,-1.0
technical_27,-1.0
technical_2,-1.0
fundamental_29,-1.0
technical_0,-1.0
fundamental_22,-1.0
fundamental_44,-1.0
fundamental_43,-1.0
fundamental_23,-1.0
fundamental_25,-1.0
fundamental_40,-1.0
fundamental_39,-1.0
fundamental_37,-1.0
fundamental_36,-1.0
fundamental_35,-1.0
fundamental_26,-1.0
fundamental_33,-1.0
fundamental_32,-1.0
fundamental_31,-1.0
fundamental_27,-1.0
fundamental_46,-1.0
fundamental_47,-1.0
fundamental_19,-1.0
fundamental_57,-1.0
fundamental_63,-1.0
fundamental_10,-1.0
fundamental_61,-1.0
fundamental_60,-1.0
fundamental_59,-1.0
fundamental_58,-1.0
fundamental_12,-1.0
fundamental_49,-1.0
fundamental_13,-1.0
fundamental_54,-1.0
fundamental_14,-1.0
fundamental_52,-1.0
fundamental_15,-1.0
derived_1,-1.0
fundamental_50,-1.0
