,features,corr,rank_corr,reward,rank_reward
0,technical_20,0.02337168976598036,108.0,0.017081023960202762,108.0
6,technical_22,0.010462324482329144,102.0,0.0011714519204618864,78.0
7,fundamental_59,0.009231369876691336,101.0,0.0015503938287136786,85.0
8,fundamental_18,0.008290147922465576,100.0,0.004591024829315503,98.0
9,technical_30,0.007774184436547826,99.0,0.012626424680541877,107.0
12,technical_27,0.006533135208552327,96.0,0.007925055949918807,105.0
13,fundamental_55,0.0064401744684985515,95.0,0.0031891809419827733,91.0
14,technical_36,0.006266138886324057,94.0,0.006558320985722136,103.0
15,fundamental_11,0.0059521400775030585,93.0,0.002247988321696879,89.0
16,fundamental_2,0.005015493340275299,92.0,0.0018013803244122742,88.0
17,fundamental_60,0.004937090827213575,91.0,0.004372252256018387,95.0
18,technical_35,0.0048164770104718365,90.0,0.006617063402198763,104.0
19,technical_14,0.004231427647193483,89.0,0.0032719629455866023,92.0
32,technical_2,0.0027885785979789297,76.0,0.005749303112551388,101.0
33,technical_11,0.0027081320639174666,75.0,0.005945610543744812,102.0
34,fundamental_47,0.0026281098896572684,74.0,-0.00044435494641856916,52.0
35,fundamental_30,0.0025794487486929087,73.0,0.001308883485507725,82.0
37,technical_29,0.0024337496062334053,71.0,0.004548720732456013,97.0
38,fundamental_10,0.0023016284675611855,70.0,0.0007424966667714976,70.0
39,derived_3,0.0022695459601488545,69.0,-0.0007030912608456383,44.0
40,technical_9,0.0022341314766510098,68.0,0.0007670668712043339,72.0
41,technical_32,0.0021536354746998676,67.0,0.000894551008577442,75.0
42,fundamental_28,0.0021480531569037756,66.0,0.0011918897100325556,80.0
44,technical_13,0.0020254651617455026,64.0,-0.0008443668038622008,40.0
45,fundamental_51,0.002021395077562536,63.0,-0.0009715417765818775,37.0
47,technical_39,0.0018076446899575923,61.0,-0.0011309126824527696,32.0
48,technical_28,0.0018009385154278891,60.0,0.0013073958157073962,81.0
50,technical_12,0.001630099947711615,58.0,0.00135101932641411,83.0
51,fundamental_17,0.0015614968346497203,57.0,-0.0003401822347872602,53.0
57,fundamental_27,0.0012081815622457007,51.0,-0.0005777229358484443,47.0
58,derived_2,0.0011978573761369487,50.0,-0.0007672845487378179,43.0
62,technical_17,0.0009330084801629987,46.0,-0.002942929648707241,22.0
63,fundamental_6,0.0009008908202453851,45.0,-0.0002387413284149953,55.0
65,technical_25,0.0008436177161231148,43.0,-0.0014565827475218078,26.0
66,fundamental_61,0.0008101221199018808,42.0,-0.0001328640844908535,58.5
67,fundamental_1,0.0008101221186635705,41.0,-0.0001328640844908535,58.5
69,fundamental_34,0.0007932536497883294,39.0,-0.0011275977314501061,33.0
75,fundamental_48,0.0006651753189763291,33.0,-0.0003054923798420293,54.0
76,technical_31,0.0006520633836417028,32.0,-0.0008935483514064572,39.0
77,technical_1,0.0006463114991352889,31.0,-0.0012259341761788355,29.0
78,fundamental_46,0.0006030373256349727,30.0,-0.05281637159805267,4.0
84,fundamental_37,0.00040888612103626176,24.0,-0.0032730320389667013,20.0
88,fundamental_58,0.00028322801073407363,20.0,-0.0004536653271268921,49.0
91,fundamental_39,0.00026681667918265235,17.0,-0.000824670958966553,41.0
93,fundamental_44,0.00023628445821860031,15.0,-0.0011356190631047485,31.0
95,fundamental_57,0.00020257451929579364,13.0,-0.004955654391760845,11.0
100,fundamental_3,0.00010543315375433674,8.0,-0.0010469952528664346,36.0
105,fundamental_38,4.297168252404367e-05,3.0,-0.0014270580642917186,27.0
